iter	Passed	Remaining
0	61	61642
1	64	32352
2	67	22411
3	69	17343
4	72	14452
5	75	12447
6	78	11095
7	80	9933
8	82	9099
9	84	8404
10	87	7843
11	89	7367
12	91	6951
13	94	6633
14	97	6374
15	98	6058
16	100	5822
17	103	5644
18	105	5452
19	108	5292
20	110	5147
21	113	5030
22	115	4904
23	118	4799
24	120	4687
25	122	4578
26	124	4499
27	127	4420
28	129	4350
29	132	4280
30	134	4211
31	136	4138
32	139	4088
33	142	4038
34	145	4004
35	147	3950
36	149	3903
37	152	3853
38	155	3821
39	158	3799
40	160	3764
41	163	3733
42	165	3691
43	168	3651
44	170	3624
45	175	3636
46	178	3618
47	180	3588
48	183	3568
49	186	3548
50	189	3519
51	190	3477
52	193	3453
53	195	3421
54	198	3402
55	200	3381
56	203	3359
57	205	3342
58	207	3305
59	209	3287
60	212	3268
61	214	3240
62	216	3220
63	218	3200
64	221	3184
65	223	3162
66	225	3141
67	227	3122
68	230	3108
69	232	3090
70	234	3072
71	236	3050
72	238	3032
73	240	3014
74	243	2999
75	244	2977
76	247	2963
77	249	2948
78	251	2934
79	254	2923
80	256	2911
81	259	2901
82	261	2888
83	263	2875
84	266	2865
85	268	2851
86	269	2832
87	272	2820
88	274	2810
89	277	2803
90	279	2792
91	281	2773
92	283	2760
93	285	2749
94	287	2738
95	289	2728
96	292	2720
97	294	2707
98	296	2697
99	298	2687
100	301	2681
101	303	2672
102	306	2671
103	309	2663
104	311	2655
105	313	2647
106	316	2638
107	318	2630
108	321	2624
109	323	2618
110	325	2606
111	327	2598
112	331	2599
113	334	2598
114	336	2591
115	339	2585
116	342	2587
117	345	2578
118	347	2570
119	349	2562
120	351	2553
121	354	2548
122	356	2543
123	359	2536
124	361	2531
125	364	2525
126	366	2520
127	369	2514
128	371	2509
129	374	2503
130	376	2500
131	379	2495
132	382	2491
133	385	2493
134	388	2489
135	391	2484
136	393	2479
137	396	2477
138	400	2480
139	402	2475
140	405	2471
141	408	2465
142	410	2460
143	413	2455
144	415	2451
145	418	2447
146	420	2442
147	423	2437
148	425	2432
149	427	2421
150	430	2418
151	432	2413
152	435	2409
153	437	2405
154	440	2401
155	443	2397
156	446	2397
157	449	2393
158	451	2389
159	454	2384
160	456	2379
161	459	2376
162	461	2372
163	464	2367
164	467	2363
165	469	2358
166	471	2353
167	474	2348
168	477	2348
169	480	2344
170	483	2342
171	486	2341
172	489	2340
173	495	2350
174	497	2347
175	500	2341
176	502	2335
177	504	2331
178	508	2332
179	511	2327
180	512	2320
181	515	2317
182	519	2317
183	521	2312
184	527	2323
185	530	2321
186	532	2316
187	535	2313
188	541	2321
189	545	2326
190	548	2323
191	556	2343
192	559	2339
193	561	2333
194	563	2327
195	566	2322
196	569	2320
197	571	2316
198	574	2310
199	575	2301
200	577	2295
201	579	2288
202	582	2285
203	584	2279
204	586	2274
205	588	2269
206	591	2264
207	593	2258
208	595	2253
209	597	2248
210	599	2243
211	603	2244
212	606	2241
213	614	2258
214	617	2253
215	619	2248
216	623	2249
217	627	2250
218	630	2249
219	633	2245
220	636	2242
221	638	2238
222	642	2239
223	645	2237
224	649	2237
225	651	2232
226	654	2228
227	657	2225
228	659	2221
229	662	2218
230	665	2214
231	667	2210
232	670	2205
233	672	2200
234	675	2198
235	683	2214
236	686	2208
237	688	2202
238	690	2198
239	693	2196
240	695	2191
241	698	2189
242	701	2185
243	703	2180
244	705	2174
245	707	2168
246	709	2164
247	712	2159
248	714	2154
249	716	2149
250	719	2147
251	722	2145
252	725	2141
253	729	2141
254	731	2137
255	734	2134
256	737	2131
257	740	2128
258	742	2123
259	744	2119
260	747	2115
261	749	2111
262	752	2109
263	756	2108
264	758	2104
265	761	2101
266	764	2098
267	767	2095
268	771	2096
269	774	2093
270	781	2102
271	783	2096
272	791	2107
273	795	2108
274	825	2176
275	831	2181
276	838	2187
277	840	2182
278	848	2193
279	855	2199
280	862	2206
281	867	2208
282	870	2205
283	879	2216
284	885	2220
285	887	2215
286	888	2208
287	896	2215
288	898	2210
289	900	2205
290	903	2201
291	906	2197
292	908	2193
293	911	2189
294	914	2184
295	916	2179
296	918	2174
297	921	2170
298	923	2166
299	926	2161
300	928	2156
301	931	2152
302	933	2147
303	935	2142
304	938	2139
305	941	2134
306	943	2129
307	945	2124
308	947	2119
309	949	2114
310	953	2112
311	955	2107
312	959	2106
313	962	2101
314	965	2100
315	970	2100
316	976	2103
317	979	2100
318	985	2103
319	988	2100
320	991	2097
321	995	2096
322	1004	2105
323	1010	2107
324	1014	2107
325	1017	2103
326	1019	2098
327	1022	2094
328	1024	2089
329	1029	2090
330	1031	2085
